x_log2fc,y_post_mean,y_post_lo,y_post_hi
-2.5,5.041789751181723,4.3417897511817225,5.741789751181723
-2.4866220735785953,5.043359591028695,4.3457676177845475,5.740951564272843
-2.4732441471571907,5.044988089737499,4.349804143249205,5.740172036225793
-2.459866220735786,5.046677416179715,4.353901496447274,5.739453335912157
-2.4464882943143813,5.048429817711397,4.358061924734808,5.738797710687986
-2.4331103678929766,5.050247622884831,4.362287756664095,5.738207489105568
-2.419732441471572,5.052133244244192,4.36658140477931,5.737685083709075
-2.4063545150501673,5.054089181206911,4.370945368497881,5.737232993915941
-2.3929765886287626,5.056118023032533,4.375382237079355,5.73685380898571
-2.379598662207358,5.058222451880854,4.37989469268353,5.736550211078178
-2.3662207357859533,5.060405245961023,4.384485513519552,5.736324978402495
-2.3528428093645486,5.062669282773266,4.389157577087647,5.736180988458885
-2.339464882943144,5.06501754244485,4.393913863515084,5.736121221374616
-2.3260869565217392,5.067453111161797,4.398757458987884,5.736148763335709
-2.3127090301003346,5.069979184697773,4.403691559279713,5.736266810115833
-2.29933110367893,5.072599072041499,4.408719473379292,5.736478670703707
-2.2859531772575252,5.075316199123919,4.413844627217564,5.736787771030274
-2.2725752508361206,5.078134112646182,4.41907056749568,5.737197657796683
-2.259197324414716,5.081056484009425,4.424400965614776,5.7377120024040735
-2.245819397993311,5.0840871133471275,4.429839621708331,5.738334604985924
-2.2324414715719065,5.087229933660632,4.435390468777689,5.739069398543576
-2.219063545150502,5.0904890150582505,4.44105757693116,5.7399204531853405
-2.205685618729097,5.093868569098112,4.446845157726875,5.74089198046935
-2.1923076923076925,5.097372953234703,4.452757568619318,5.7419883378500876
-2.178929765886288,5.101006675368724,4.458799317509193,5.743214033228256
-2.165551839464883,5.104774398499633,4.4649750673959545,5.744573729603312
-2.1521739130434785,5.108680945479889,4.471289641132063,5.746072249827715
-2.138795986622074,5.112731303869532,4.477748026277559,5.747714581461506
-2.125418060200669,5.1169306308893905,4.48435538005327,5.749505881725511
-2.112040133779264,5.1212842584706895,4.491117034390422,5.751451482550957
-2.0986622073578594,5.125797698398462,4.498038501074047,5.753556895722877
-2.0852842809364547,5.13047664754555,4.505125476976988,5.7558278181141125
-2.07190635451505,5.135326993193516,4.512383849380807,5.758270137006225
-2.0585284280936453,5.1403548184361,4.519819701379244,5.760889935492956
-2.0451505016722407,5.145566407660274,4.527439317359271,5.7636934979612775
-2.031772575250836,5.150968252099199,4.535249188554048,5.76668731564435
-2.0183946488294313,5.156567055450618,4.543256018661321,5.7698780922399155
-2.0050167224080266,5.162369739553464,4.551466729520019,5.7732727495869085
-1.991638795986622,5.1683834501144785,4.559888466836886,5.776878433392071
-1.9782608695652173,5.174615562475803,4.568528605954064,5.780702518997542
-1.9648829431438126,5.181073687413385,4.577394757647499,5.784752617179271
-1.951505016722408,5.187765676955029,4.586494773944995,5.789036579965062
-1.9381270903010033,5.194699630205718,4.595836753951537,5.793562506459899
-1.9247491638795986,5.2018838991666145,4.605429049668286,5.798338748664943
-1.911371237458194,5.209327094532787,4.615280271790312,5.803373917275262
-1.8979933110367893,5.2170380914533485,4.6253992954667265,5.808676887439971
-1.8846153846153846,5.225026035236137,4.635795266005368,5.814256804466907
-1.87123745819398,5.2333003469775266,4.646477604502611,5.8201230894524425
-1.8578595317725752,5.241870729096217,4.657456013377153,5.82628544481528
-1.8444816053511706,5.250747170748093,4.668740481784882,5.832753859711303
-1.8311036789297659,5.25993995309734,4.680341290889982,5.839538615304698
-1.8177257525083612,5.269459654417006,4.692269018965501,5.846650289868512
-1.8043478260869565,5.279317154990086,4.704534546294434,5.854099763685738
-1.7909698996655519,5.289523641780009,4.717149059840209,5.861898223719808
-1.7775919732441472,5.300090612837053,4.730124057653106,5.870057168021
-1.7642140468227425,5.311029881404824,4.743471352976731,5.8785884098329175
